,predicted_label,correct_label,runtime,attempts,distance
0,,cup,0 days 00:00:04.222243,10,3ft
1,,cup,0 days 00:00:02.262460,10,3ft
2,,cup,0 days 00:00:02.178167,10,3ft
3,,cup,0 days 00:00:02.262223,10,3ft
4,,cup,0 days 00:00:02.521871,10,3ft
5,,cup,0 days 00:00:02.262517,10,3ft
6,,cup,0 days 00:00:02.521380,10,3ft
7,,cup,0 days 00:00:02.179542,10,3ft
8,,cup,0 days 00:00:02.262973,10,3ft
9,,cup,0 days 00:00:02.262394,10,3ft
10,wine glass,cup,0 days 00:00:02.229094,7,3ft
11,,cup,0 days 00:00:02.178649,10,3ft
12,,cup,0 days 00:00:02.178088,10,3ft
13,,cup,0 days 00:00:02.694023,10,3ft
14,,cup,0 days 00:00:02.261656,10,3ft
15,,cup,0 days 00:00:02.781812,10,3ft
16,,cup,0 days 00:00:02.350332,10,3ft
17,,cup,0 days 00:00:02.178577,10,3ft
18,,cup,0 days 00:00:02.521625,10,3ft
19,,cup,0 days 00:00:02.262239,10,3ft
20,,cup,0 days 00:00:02.178297,10,3ft
21,,cup,0 days 00:00:02.178470,10,3ft
22,,cup,0 days 00:00:02.262140,10,3ft
23,,cup,0 days 00:00:02.521459,10,3ft
24,,cup,0 days 00:00:02.521469,10,3ft
25,bicycle,cup,0 days 00:00:02.570149,9,3ft
26,,cup,0 days 00:00:02.178627,10,3ft
27,,cup,0 days 00:00:02.178618,10,3ft
28,,cup,0 days 00:00:02.262718,10,3ft
29,,cup,0 days 00:00:02.350398,10,3ft
30,suitcase,cup,0 days 00:00:02.136840,9,3ft
31,,cup,0 days 00:00:02.261801,10,3ft
32,suitcase,cup,0 days 00:00:02.137054,8,3ft
33,,cup,0 days 00:00:02.178969,10,3ft
34,,cup,0 days 00:00:02.262457,10,3ft
35,,cup,0 days 00:00:02.350450,10,3ft
36,,cup,0 days 00:00:02.177679,10,3ft
37,,cup,0 days 00:00:02.179509,10,3ft
38,,cup,0 days 00:00:02.350154,10,3ft
39,suitcase,cup,0 days 00:00:02.133569,8,3ft
40,suitcase,cup,0 days 00:00:02.133661,9,3ft
41,suitcase,cup,0 days 00:00:02.136956,8,3ft
42,suitcase,cup,0 days 00:00:02.052355,7,3ft
43,,cup,0 days 00:00:02.350352,10,3ft
44,,cup,0 days 00:00:02.262562,10,3ft
45,suitcase,cup,0 days 00:00:02.134567,8,3ft
46,,cup,0 days 00:00:02.179644,10,3ft
47,suitcase,cup,0 days 00:00:02.185752,5,3ft
48,,cup,0 days 00:00:02.178468,10,3ft
49,,cup,0 days 00:00:02.178529,10,3ft
